year,avg_temp,NYC temp,movavg,movavg,
2005,9.7,10.68,9.431428571,10.60285714,1.171428571
2006,9.53,11.52,9.465714286,10.65428571,1.188571429
2007,9.73,10.63,9.541428571,10.74857143,1.207142857
2008,9.43,10.64,9.544285714,10.70714286,1.162857143
2009,9.51,10.14,9.535714286,10.54857143,1.012857143
2010,9.7,11.36,9.56,10.76571429,1.205714286
2011,9.52,11.27,9.588571429,10.89142857,1.302857143
2012,9.51,11.97,9.561428571,11.07571429,1.514285714
2013,9.61,12.16,9.572857143,11.16714286,1.594285714
2014,9.57,,9.55,,
2015,9.83,,9.607142857,,
